"Data from Steven Cook (steven.cook2@gmail.com), supported by the Emmons Lab, Albert Einstein College of Medicine",,,,
idx,pre,post,sections,type
547,AIZR,AIBL,4,chemical
548,AIZR,RIMR,4,chemical
549,AIZR,AVEL,2,chemical
550,AIZR,AIBL,2,chemical
551,AIZR,AVEL,2,chemical
552,AIZR,AIBL,2,chemical
553,RIMR,AIBL,1,chemical
554,RIMR,SMDDR,1,chemical
555,DVA,AVEL,5,chemical
556,DVA,SAADR,5,chemical
557,DVA,RIMR,5,chemical
558,SMDVL,RIAR,2,chemical
559,SMDVL,SMDDR,2,chemical
560,SMDVL,RMDDR,2,chemical
561,RIAR,SMDDR,4,chemical
562,RIAR,SMDVL,4,chemical
563,VB01,SAADL,2,chemical
564,VB01,vBWML7,2,chemical
565,RIVL,SAADR,3,chemical
566,RIAR,RIVL,3,chemical
567,RIAR,SMDDR,3,chemical
568,SMBVR,vBWMR7,4,chemical
569,SMBVR,SAADR,4,chemical
570,RIVL,vBWMR7,1,chemical
571,RIVL,vBWMR7,1,chemical
572,SMBVR,vBWMR7,1,chemical
573,SMBVR,vBWMR7,1,chemical
574,RIVL,SMDDR,2,chemical
575,RIVL,RIAR,2,chemical
576,RIVL,vBWMR7,4,chemical
577,RIVL,vBWMR7,1,chemical
578,RIVL,RMDVL,1,chemical
579,RIVL,vBWMR7,2,chemical
580,RIVL,RMDVL,2,chemical
581,RIVL,vBWMR7,1,chemical
582,RIVL,vBWMR6,2,chemical
583,RIVL,vBWMR7,2,chemical
584,RIVL,vBWMR7,2,chemical
585,RIVL,vBWMR5,2,chemical
586,RIVL,vBWMR5,2,chemical
587,RIVL,vBWMR5,2,chemical
588,PLNL,SAADR,3,chemical
589,PLNL,SMBVR,3,chemical
590,RIAR,SMDVL,2,chemical
591,SMDVL,RIAR,2,chemical
592,SMDVL,SMDDR,2,chemical
593,RIAR,SMDDR,3,chemical
594,RIAR,SMDVL,3,chemical
595,RIAR,SMDDR,1,chemical
596,RIAR,SMDVL,1,chemical
597,SMDVL,RIAR,3,chemical
598,SMDVL,SMDDR,3,chemical
599,RIAR,SMDDR,1,chemical
600,RIAR,SMDVL,1,chemical
601,RIAR,SMDVL,2,chemical
602,RIAR,RMDDR,2,chemical
603,SMDVL,RIAR,1,chemical
604,SMDVL,SMDDR,1,chemical
605,RIAR,SMDDR,2,chemical
606,RIAR,SMDVL,2,chemical
607,RIAR,SMDDR,2,chemical
608,RIAR,SMDVL,2,chemical
609,SDQR,RICR,2,chemical
610,SDQR,AVBL,2,chemical
611,SDQR,SDQL,2,chemical
612,RIVL,RMDVL,2,chemical
613,RIVL,SIAVR,2,chemical
614,ASKR,AIAR,2,chemical
615,AIZR,RIAR,5,chemical
616,RIBR,RIH,2,chemical
617,RIBR,RIAR,2,chemical
618,RIBR,AUAR,2,chemical
619,ADFR,RIAR,2,chemical
620,ADFR,SMBVR,2,chemical
621,ADFR,RIAR,4,chemical
622,ADFR,SMBVR,4,chemical
623,AIZR,SMBDR,1,chemical
624,AIZR,RIAR,1,chemical
625,ADFR,AUAR,3,chemical
626,ADFR,RIAR,3,chemical
627,AWAR,AFDR,3,chemical
628,AWAR,AIYR,3,chemical
629,AWCR,AIYR,1,chemical
630,ASKR,AIAR,1,chemical
631,ASEL,ASER,2,chemical
632,ASEL,AIBR,2,chemical
633,ASEL,AWCR,2,chemical
634,ASER,AIBR,2,chemical
635,ASER,ASEL,2,chemical
636,ADLR,AIAR,2,chemical
637,ADLR,AIBR,2,chemical
638,ASER,AIYR,2,chemical
639,ASER,AIBR,2,chemical
640,AINL,AFDR,1,chemical
641,AINL,ASIL,1,chemical
642,AIMR,AIAR,1,chemical
643,AIMR,ASKR,1,chemical
644,CEPVR,CEHVR,1,chemical
645,CEPVR,ASGR,1,chemical
646,CEPVR,CEHVR,1,chemical
647,CEPVR,ASGR,1,chemical
648,ASKR,AIMR,1,chemical
649,ASKR,AIAR,1,chemical
650,ALMR,CEPVR,1,chemical
651,ALMR,CEPVR,1,chemical
652,ALMR,CEPVR,1,chemical
653,CEPVR,SMDDR,2,chemical
654,CEPVR,RIVL,2,chemical
655,CEPVR,SIAVR,2,chemical
656,CEPVR,RICL,2,chemical
657,CEPVR,RICR,2,chemical
658,CEPVR,RMHR,3,chemical
659,CEPVR,SIAVR,3,chemical
660,CEPVR,RMHR,1,chemical
661,CEPVR,SIAVR,1,chemical
662,RMDVR,vBWML2,1,chemical
663,RMDVR,URAVL,1,chemical
664,RMDVR,OLQVL,1,chemical
667,SIBVL,vBWML2,1,chemical
668,SIBVL,RMDDL,1,chemical
669,RMDVL,vBWMR2,1,chemical
670,SMBVR,vBWMR3,3,chemical
671,SMBVR,CEPVR,3,chemical
672,SMBVR,vBWMR6,3,chemical
673,CEPVR,RICL,8,chemical
674,CEPVR,RMHR,8,chemical
675,CEPVR,RICR,8,chemical
676,RMDVL,RMDDR,1,chemical
677,RMDVL,vBWMR7,1,chemical
678,SMBVR,vBWMR6,1,chemical
679,SMBVR,vBWMR6,2,chemical
680,SMBVR,vBWMR6,3,chemical
681,SMBVR,vBWMR2,3,chemical
682,SMBVR,vBWMR3,3,chemical
683,SMBVR,CEPVR,3,chemical
684,SMBVR,vBWMR6,2,chemical
685,RIAR,RMDDR,13,chemical
686,RIAR,RMDVL,13,chemical
687,RMDVL,vBWMR6,1,chemical
688,RMDVL,vBWMR6,1,chemical
689,RMDVL,vBWMR7,1,chemical
690,RMDVL,vBWMR6,2,chemical
691,RMDVL,vBWMR2,2,chemical
692,RIAR,RMDDR,3,chemical
693,RIAR,RMDVL,3,chemical
694,RIAR,RMDVL,1,chemical
695,RIAR,RMDVL,4,chemical
696,RIAR,RMDDR,4,chemical
697,RMDVL,vBWMR7,1,chemical
698,RMDVL,vBWMR6,1,chemical
699,syn6,RMDVL,1,chemical
700,syn6,AVAL,1,chemical
701,URYVL,RIBL,1,chemical
702,URYVL,SMDVR,1,chemical
703,URYVL,AVER,1,chemical
704,OLLL,AVER,3,chemical
705,OLLL,CEPVL,3,chemical
706,SMDVL,RIVL,1,chemical
707,SMDVL,RMDDR,1,chemical
708,SMDVL,RIAR,1,chemical
709,RIAR,RMDDR,4,chemical
710,RIAR,RMDVL,4,chemical
711,RMDVL,RMDDR,7,chemical
712,RMDVL,vBWMR4,7,chemical
713,RIS,AVER,3,chemical
714,RIS,RIMR,3,chemical
715,RIS,AVKL,3,chemical
716,AIZL,AIBR,1,chemical
717,AIZL,AVER,1,chemical
718,RIAR,RMDDR,7,chemical
719,RIAR,RMDVL,7,chemical
720,RMDVL,RMDDR,1,chemical
721,RMDVL,vBWMR4,1,chemical
722,RMDVL,RMDDR,1,chemical
723,RMDVL,vBWMR4,1,chemical
724,RIAR,RMDDR,2,chemical
725,RIAR,RMDVL,2,chemical
726,RIAR,RMDDR,1,chemical
727,RIAR,RMDVL,1,chemical
728,RMDVL,URYVR,1,chemical
729,URYVR,RMDVL,4,chemical
730,URYVR,RMDDR,4,chemical
731,RMDVL,vBWMR2,11,chemical
732,RMDVL,RMDDR,11,chemical
733,RMDVL,vBWMR3,11,chemical
734,RMDVL,vBWMR6,11,chemical
735,URYVR,RMDVL,3,chemical
736,URYVR,RMDDR,3,chemical
737,URYVR,RMDVL,4,chemical
738,URYVR,RMDVL,8,chemical
739,URYVR,RMDDR,8,chemical
740,RMDVL,vBWMR4,4,chemical
741,RMDVL,RMDDR,4,chemical
742,RIAR,RMDDR,2,chemical
743,RIAR,RMDDR,1,chemical
744,RIAR,RMDDR,1,chemical
745,RIAR,RMDDR,1,chemical
746,RIAR,RMDVL,1,chemical
747,RIAR,RMDDR,1,chemical
748,RIAR,RMDVL,1,chemical
749,RMDVL,RMDDR,7,chemical
750,RMDVL,vBWMR4,7,chemical
751,RIAR,RMDDR,2,chemical
752,RIAR,RMDVL,2,chemical
753,RIAR,RMDDR,4,chemical
754,RIAR,RMDVL,4,chemical
755,RMDVL,vBWMR4,4,chemical
756,RMDVL,RMDDR,4,chemical
757,RMDVL,vBWMR4,1,chemical
758,RMDVL,RMDDR,1,chemical
759,RMDVL,RMDDR,4,chemical
760,RMDVL,vBWMR2,4,chemical
761,RMDVL,vBWMR4,4,chemical
762,RMDDR,dBWML6,1,chemical
763,RMDDR,dBWML6,1,chemical
764,RMDDR,dBWMR2,3,chemical
765,RMDDR,dBWMR6,3,chemical
766,RMDDR,dBWMR2,1,chemical
767,RMDDR,dBWML6,1,chemical
768,RIVL,SMDDR,2,chemical
769,RIVL,RIAL,2,chemical
770,RIAR,RIAL,3,chemical
771,RIAR,SMDDR,3,chemical
772,RIAL,SMDDR,3,chemical
773,RIAL,RIAR,3,chemical
774,RIAL,RIVL,1,chemical
775,RIAL,SMDDR,1,chemical
776,RIAR,RIAL,4,chemical
777,RIAR,SMDDR,4,chemical
778,RIAL,RMDDR,3,chemical
779,RIAL,RMDVL,3,chemical
780,RIAL,RIVL,1,chemical
781,RIAL,SMDDR,1,chemical
782,RIAL,SMDDR,3,chemical
783,RIAL,SMDVL,3,chemical
784,RIAL,RIVL,2,chemical
785,RIAL,SMDDR,2,chemical
786,RIAL,RMDVL,2,chemical
787,RIAL,SIAVR,2,chemical
788,RIAL,RMDR,1,chemical
789,RIAL,RIAR,1,chemical
790,RIAL,RMDR,1,chemical
791,RIAR,RIAL,2,chemical
792,RIAR,RMDR,2,chemical
793,RIAR,RMDR,2,chemical
794,RIAL,RMDR,1,chemical
795,RIAR,RIAL,3,chemical
796,RIAR,RMDR,3,chemical
797,RIAL,RMDR,1,chemical
798,RIAR,RIAL,1,chemical
799,RIAR,RMDR,1,chemical
